Tooth,1_Track,2_Track,3_Track,4_Track,5_Track,6_Track,7_Track,8_Track,9_Track,10_Track,11_Track,12_Track,13_Track,14_Track,15_Track,16_Track,17_Track,18_Track,19_Track,20_Track,21_Track,22_Track,23_Track,24_Track,25_Track,26_Track,27_Track,28_Track,29_Track,30_Track,31_Track,32_Track,33_Track,34_Track,35_Track,36_Track,37_Track,38_Track,39_Track,40_Track,41_Track,42_Track,43_Track,44_Track,45_Track,46_Track,47_Track,48_Track,49_Track,50_Track,51_Track,52_Track,53_Track,54_Track,55_Track,56_Track,57_Track,58_Track,59_Track,60_Track,61_Track,62_Track,63_Track,64_Track,65_Track,66_Track,67_Track,68_Track,69_Track,70_Track,71_Track,72_Track,73_Track,74_Track,75_Track,76_Track,77_Track,78_Track,79_Track,80_Track,81_Track,82_Track,83_Track,84_Track,85_Track,86_Track,87_Track,88_Track,89_Track,90_Track,91_Track,92_Track,93_Track,94_Track,95_Track,96_Track,97_Track,98_Track,99_Track,100_Track,101_Track,102_Track,103_Track,104_Track,105_Track,106_Track,107_Track,108_Track,109_Track,110_Track,111_Track,112_Track,113_Track,114_Track,115_Track,116_Track,117_Track,118_Track,119_Track,120_Track,121_Track,122_Track,123_Track,124_Track,125_Track,126_Track,127_Track,128_Track,129_Track,130_Track,131_Track,132_Track,133_Track,134_Track,135_Track,136_Track,137_Track
1st Cutting Edge,31.78,34.54,41.63,29.25,54.849999999999994,99.94,23.659999999999997,20.42,23.189999999999998,25.090000000000003,28.65,33.8,31.700000000000003,35.23,35.15,39.17,34.01,31.25,35.65,34.96,35.98,37.99,33.03,33.53,31.42,31.04,32.42,29.630000000000003,39.5,41.77,54.86,53.519999999999996,41.41,33.72,38.58,48.260000000000005,47.91,52.11,72.82,72.89,81.62,73.98,50.019999999999996,73.68,62.8,32.03,29.299999999999997,31.659999999999997,41.29,42.67,38.3,40.25,28.439999999999998,33.32,33.08,42.0,47.14,66.11,68.79,72.25,73.01,65.92,88.38,54.69,43.6,103.51,67.84,56.120000000000005,92.4,73.31,98.96,97.4,75.86,86.59,76.48,63.47,78.31,87.5,83.97,82.26,77.24,86.35,84.95,130.9,103.3,86.42,115.08000000000001,107.44,176.89,130.09,128.9,146.62,107.05,90.92,97.92,94.04,96.75,96.01,100.99,98.42,99.94,106.65,95.13,95.8,90.87,108.86000000000001,108.74000000000001,105.39,108.28999999999999,113.53,114.9,119.57,116.28,148.58,118.97,129.97,122.62,131.97,120.97,131.49,137.6,146.95,136.66,150.02,143.81,208.6,247.14999999999998,163.49,240.92000000000002,162.68,185.5,146.51,151.78,168.3,167.99,270.94,272.89
2nd Cutting Edge,28.61,28.630000000000003,28.590000000000003,24.759999999999998,24.64,27.200000000000003,30.85,30.92,29.020000000000003,26.21,26.159999999999997,30.939999999999998,38.25,29.68,34.8,41.89,42.79,61.2,41.22,39.94,31.53,35.75,39.63,39.63,36.89,36.15,41.06,30.659999999999997,35.84,37.25,37.18,37.24,39.53,36.39,37.75,36.75,37.22,46.709999999999994,51.260000000000005,38.06,38.65,45.83,36.48,41.05,51.28,46.22,39.63,61.010000000000005,51.93000000000001,47.260000000000005,35.32,38.77,40.89,35.8,53.400000000000006,40.88,52.290000000000006,75.2,83.14,82.98,81.64,75.34,78.58,85.43,71.68,72.03,61.730000000000004,60.519999999999996,90.35,108.22,95.45,93.45,83.66,101.66,103.8,113.77000000000001,98.46,111.27000000000001,151.52,234.39,97.77,131.01,240.87,233.28,107.84,245.26999999999998,140.96,242.44,155.76,157.9,162.63,127.32,147.7,122.19,125.22999999999999,119.91,121.53999999999999,118.13999999999999,115.66999999999999,120.74000000000001,122.16,124.9,126.63999999999999,130.78,135.87,128.9,128.99,127.66,125.19,135.27,156.12,161.14,140.56,143.91,149.96,138.03,187.4,163.99,150.12,146.01,244.79000000000002,182.96,243.93,199.02,245.18,246.55,245.31,242.41000000000003,245.29000000000002,246.74,249.38,248.2,250.07,247.29000000000002,248.95999999999998,249.38,248.55
3rd Cutting Edge,14.29,19.119999999999997,28.14,39.72,67.32,29.65,43.77,29.92,27.299999999999997,28.65,32.34,38.56,32.01,36.13,35.44,32.34,31.340000000000003,31.28,29.96,33.46,35.04,32.97,31.03,34.54,36.2,33.82,33.82,35.86,38.72,42.57,50.22,39.53,47.55,45.22,47.36,43.79,39.82,40.32,40.58,48.760000000000005,47.17,44.19,43.77,47.86,52.36,90.56,78.03,85.79,44.739999999999995,50.66,57.16,60.760000000000005,46.55,43.62,60.78,57.31,66.09,59.14,76.7,101.32,67.8,72.18,75.48,72.08,81.05,77.19,79.1,83.64,91.02,73.34,116.46000000000001,101.27,83.5,92.83,101.42,98.02,97.7,82.91,99.84,99.78,114.63999999999999,103.01,111.50999999999999,113.36000000000001,118.93,96.95,111.00999999999999,128.25,155.35,132.92,115.15,105.29,155.36,117.09,112.84,122.55000000000001,113.53,118.57,123.87,123.49000000000001,126.22999999999999,121.1,127.94999999999999,127.69,144.69,148.58,142.08,142.34,142.36,144.89,154.74,234.21,145.98,147.86,186.62,213.22,186.41,188.83,191.76,184.96,185.48,223.45,192.18,189.6,199.8,223.09,233.76,239.22000000000003,191.57,244.60000000000002,249.93,254.86,255.43,192.04,191.85,249.13,240.92000000000002
4th Cutting Edge,32.75,42.45,56.989999999999995,37.99,44.790000000000006,41.77,27.590000000000003,22.369999999999997,26.78,23.61,104.13,26.700000000000003,28.130000000000003,20.990000000000002,26.61,31.03,26.92,24.799999999999997,23.4,31.840000000000003,34.37,32.03,35.15,32.73,34.77,30.509999999999998,35.22,35.44,36.11,44.06999999999999,39.67,58.3,47.650000000000006,48.599999999999994,34.84,35.75,38.62,28.630000000000003,32.66,33.44,40.89,37.1,37.13,39.29,37.15,43.45,34.8,33.77,36.94,39.67,87.5,48.5,49.290000000000006,79.19,49.86,123.80000000000001,128.85,39.41,62.11,58.18000000000001,67.77,55.540000000000006,56.879999999999995,60.68000000000001,76.5,145.13,106.67,89.93,99.96,118.6,107.25,101.16,113.44999999999999,103.13,120.44999999999999,104.17,126.41999999999999,118.21000000000001,153.09,128.18,106.46,128.4,102.73,116.07,134.72,96.49,101.53,105.56,105.29,133.7,105.3,123.59,102.96,116.36000000000001,106.65,117.91,116.69,119.28999999999999,117.1,121.16,117.88,117.91,115.53,115.1,121.83000000000001,131.87,137.29,135.39,137.82,134.89,134.06,138.1,141.81,143.53,143.32,161.18,157.76,159.14,157.69,161.54,163.83,163.38,165.35,165.25,166.73,167.75,165.25,238.25,166.92,165.2,172.49,169.03,169.91,187.24,171.77,183.65,205.41
